0.19,1,0.104,1,0.05,1
0.143,1,0.07,1,0.032,1
0.101,1,0.05,1,0.02,1
-999,9,-999,9,-999,9
0.132,1,0.064,1,0.024,1
-999,9,-999,9,-999,9
-999,9,-999,9,-999,9
0.193,1,0.106,1,0.048,1
-999,9,-999,9,-999,9
0.166,1,0.084,1,0.033,1
-999,9,-999,9,-999,9
0.149,1,0.068,1,0.026,1
-999,9,-999,9,-999,9
0.149,1,0.074,1,0.029,1
-999,9,-999,9,-999,9
-999,9,-999,9,-999,9
-999,9,-999,9,-999,9
-999,9,-999,9,-999,9
-999,9,-999,9,-999,9
-999,9,-999,9,-999,9
-999,9,-999,9,-999,9
-999,9,-999,9,-999,9
-999,9,-999,9,-999,9
0.147,1,0.075,1,0.035,1
-999,9,-999,9,-999,9
-999,9,-999,9,-999,9
-999,9,-999,9,-999,9
-999,9,-999,9,-999,9
-999,9,-999,9,-999,9
-999,9,-999,9,-999,9
-999,9,-999,9,-999,9
-999,9,-999,9,-999,9
-999,9,-999,9,-999,9
-999,9,-999,9,-999,9
-999,9,-999,9,-999,9
-999,9,-999,9,-999,9
